_id.courseId,_id.sectionId,_id.unitId,total_time
60,2,6,1404108
60,2,7,666665
60,2,8,219884
60,2,9,407171
60,3,1,5421343
60,3,2,290466
60,3,3,407288
60,3,4,6771116
60,3,5,602148
60,3,6,6336376
60,3,7,514519
60,3,8,715137
60,3,9,312410
60,4,1,7781690
60,4,10,3107891
60,4,11,292417
60,4,12,342412
60,4,13,43019666
60,4,14,26811514
60,4,15,525294
60,4,16,365114
60,4,17,909871
60,4,18,313728041
60,4,19,283105
60,4,2,5964125
60,4,20,57581
60,4,21,427507
60,4,3,224705
60,4,4,358436
60,4,5,4527270
60,4,6,18123964
60,4,7,180086
60,4,8,148960
60,4,9,186032886
60,5,1,11843476
60,5,10,81872516
60,5,11,441414
60,5,12,380768
60,5,13,114345
60,5,14,6735110
60,5,15,792566
60,5,16,288164
60,5,17,297194
60,5,18,583589
60,5,2,17141045
60,5,3,783109
60,5,4,1132943
60,5,5,261473078
60,5,6,63347282
60,5,7,527166
60,5,8,191515
60,5,9,111578383
60,6,1,14746187
60,6,2,283341
60,6,3,69087
60,6,4,1894875
60,6,5,73140
60,6,6,62293
60,6,7,276974
60,7,1,713982
60,7,2,825534
63,1,1,133245524
63,1,2,28514685
63,2,1,96120424
63,2,2,22647288
63,2,3,81930642
63,2,4,149077081
63,2,5,28747008
63,2,6,85205007
63,3,1,98989124
63,3,2,21744210
63,3,3,6865450
63,3,4,67919044
63,4,1,84926190
63,4,10,14571904
63,4,11,2201678
63,4,12,14311326
63,4,13,6609568
63,4,14,21078186
63,4,2,8394882
63,4,3,4212515
63,4,4,6249536
63,4,5,45731998
63,4,6,30688153
63,4,7,16213062
63,4,8,167262658
63,4,9,4258366
63,5,1,58096461
63,5,10,10510676
63,5,11,1174030
63,5,12,1252814
63,5,13,12503903
63,5,2,5436129
63,5,3,1285959
63,5,4,6375389
63,5,5,116379234
63,5,6,2265646
63,5,7,9358979
63,5,8,11489586
63,5,9,32310099
63,6,1,58762795
63,6,2,3637830
63,6,3,5052393
63,6,4,21896875
63,6,5,9505383
63,6,6,4241317
63,6,7,3022990
63,6,8,3088641
63,6,9,98442660
63,7,1,61884330
63,7,2,52917019
63,7,3,1797503
63,7,4,23017879
63,7,5,7979852
63,8,1,24085756
66,1,1,236304909
66,1,2,116298682
66,1,3,0
66,10,1,36846883
66,10,2,9690656
66,10,3,21481455
66,10,4,11470639
66,10,5,7137415
66,10,6,4605110
66,10,7,394984
66,10,8,1157696
66,10,9,10475134
66,11,1,336512
66,2,1,174499794
66,2,10,160206925
66,2,11,34624660
66,2,2,174481544
66,2,3,48107694
66,2,4,22974143
66,2,5,248546436
66,2,6,65981604
66,2,7,186246297
66,2,8,19664014
66,2,9,14801422
66,3,1,120911371
66,3,10,46781456
66,3,11,1094190
66,3,12,611272
66,3,13,474990
66,3,14,1571509
66,3,15,1225983
66,3,16,130692
66,3,17,12199979
66,3,18,1010583
66,3,19,2388737
66,3,2,70677926
66,3,20,285622
66,3,3,45373371
66,3,4,121135728
66,3,5,85082241
66,3,6,27813506
66,3,7,171767832
66,3,8,198833386
66,3,9,110953074
66,4,1,141922182
66,4,10,7915001
66,4,11,9567341
66,4,12,130947144
66,4,13,40768105
66,4,14,52081264
66,4,15,88404076
66,4,16,20635451
66,4,17,22453814
66,4,18,152555858
66,4,19,28132446
66,4,2,16611149
66,4,20,31094299
66,4,3,41420182
66,4,4,180141826
66,4,5,27994603
66,4,6,42823314
66,4,7,292855037
66,4,8,16587030
66,4,9,80342977
66,5,1,145676510
66,5,10,113147411
66,5,11,47215125
66,5,12,121848187
66,5,13,17628124
66,5,14,6180440
66,5,15,156892187
66,5,16,37289836
66,5,17,43422059
66,5,18,97760163
66,5,19,66572204
66,5,2,56960484
66,5,20,10449772
66,5,21,12263236
66,5,22,124801856
66,5,23,2212
66,5,24,0
66,5,3,28988590
66,5,4,154301581
66,5,5,34572573
66,5,6,8322893
66,5,7,165354493
66,5,8,49311430
66,5,9,59272017
66,6,1,108858966
66,6,10,55977
66,6,11,3075365
66,6,12,502144
66,6,13,13793
66,6,14,7659
66,6,15,3629580
66,6,16,3390269
66,6,17,97338
66,6,18,1060835
66,6,19,11450582
66,6,2,11799426
